dist,speed,sr,split
50,5.5,50,1
100,5.4,46,2
150,5.2,42,3
200,5.1,42,4
250,5.1,41,5
300,5,39,6
350,4.9,39,7
400,4.9,39,8
450,4.9,38,9
500,4.8,36,10
550,4.8,36,11
600,4.8,36,12
650,4.8,36,13
700,4.7,36,14
750,4.7,35,15
800,4.7,35,16
850,4.7,35,17
900,4.7,35,18
950,4.7,35,19
1000,4.6,35,20
1050,4.7,37,21
1100,4.7,37,22
1150,4.7,37,23
1200,4.7,36,24
1250,4.7,36,25
1300,4.7,37,26
1350,4.7,37,27
1400,4.6,37,28
1450,4.7,36,29
1500,4.7,38,30
1550,4.7,37,31
1600,4.7,37,32
1650,4.7,37,33
1700,4.7,39,34
1750,4.7,38,35
1800,4.7,39,36
1850,4.7,40,37
1900,4.7,40,38
1950,4.7,38,39
2000,4.5,37,40
