dist,speed,sr,year,split
50,5.5,50,2019,1
100,5.4,46,2019,2
150,5.2,42,2019,3
200,5.1,42,2019,4
250,5.1,41,2019,5
300,5,39,2019,6
350,4.9,39,2019,7
400,4.9,39,2019,8
450,4.9,38,2019,9
500,4.8,36,2019,10
550,4.8,36,2019,11
600,4.8,36,2019,12
650,4.8,36,2019,13
700,4.7,36,2019,14
750,4.7,35,2019,15
800,4.7,35,2019,16
850,4.7,35,2019,17
900,4.7,35,2019,18
950,4.7,35,2019,19
1000,4.6,35,2019,20
1050,4.7,37,2019,21
1100,4.7,37,2019,22
1150,4.7,37,2019,23
1200,4.7,36,2019,24
1250,4.7,36,2019,25
1300,4.7,37,2019,26
1350,4.7,37,2019,27
1400,4.6,37,2019,28
1450,4.7,36,2019,29
1500,4.7,38,2019,30
1550,4.7,37,2019,31
1600,4.7,37,2019,32
1650,4.7,37,2019,33
1700,4.7,39,2019,34
1750,4.7,38,2019,35
1800,4.7,39,2019,36
1850,4.7,40,2019,37
1900,4.7,40,2019,38
1950,4.7,38,2019,39
2000,4.5,37,2019,40
50,5.6,51,2018,1
100,5.3,44,2018,2
150,5.3,41,2018,3
200,5.1,40,2018,4
250,5,40,2018,5
300,4.9,39,2018,6
350,4.9,38,2018,7
400,4.9,38,2018,8
450,4.9,38,2018,9
500,4.9,37,2018,10
550,4.8,37,2018,11
600,4.8,37,2018,12
650,4.8,37,2018,13
700,4.8,36,2018,14
750,4.8,36,2018,15
800,4.8,36,2018,16
850,4.8,35,2018,17
900,4.7,35,2018,18
950,4.6,35,2018,19
1000,4.7,36,2018,20
1050,4.7,35,2018,21
1100,4.6,35,2018,22
1150,4.6,35,2018,23
1200,4.7,35,2018,24
1250,4.7,35,2018,25
1300,4.7,35,2018,26
1350,4.6,35,2018,27
1400,4.6,35,2018,28
1450,4.7,36,2018,29
1500,4.7,36,2018,30
1550,4.8,36,2018,31
1600,4.7,35,2018,32
1650,4.6,35,2018,33
1700,4.7,35,2018,34
1750,4.7,35,2018,35
1800,4.7,36,2018,36
1850,4.7,36,2018,37
1900,4.7,36,2018,38
1950,4.5,35,2018,39
2000,4.4,34,2018,40
50,5.3,56,2017,1
100,5.4,57,2017,2
150,4.9,37,2017,3
200,4.9,34,2017,4
250,4.9,34,2017,5
300,4.8,35,2017,6
350,4.8,35,2017,7
400,4.8,35,2017,8
450,4.8,35,2017,9
500,4.8,35,2017,10
550,4.8,34,2017,11
600,4.8,34,2017,12
650,4.8,34,2017,13
700,4.8,34,2017,14
750,4.8,35,2017,15
800,4.8,35,2017,16
850,4.8,36,2017,17
900,4.8,36,2017,18
950,4.8,35,2017,19
1000,4.8,35,2017,20
1050,4.8,36,2017,21
1100,4.8,36,2017,22
1150,4.8,37,2017,23
1200,4.9,37,2017,24
1250,4.9,38,2017,25
1300,4.8,37,2017,26
1350,4.8,36,2017,27
1400,4.8,35,2017,28
1450,4.7,38,2017,29
1500,4.9,39,2017,30
1550,5,39,2017,31
1600,4.9,38,2017,32
1650,4.8,38,2017,33
1700,4.8,38,2017,34
1750,4.8,40,2017,35
1800,4.9,41,2017,36
1850,4.9,43,2017,37
1900,5,44,2017,38
1950,5,45,2017,39
2000,5,45,2017,40
50,4,36,2016,1
100,4.5,41,2016,2
150,4.5,37,2016,3
200,4.4,35,2016,4
250,4.4,33,2016,5
300,4.4,35,2016,6
350,4.4,35,2016,7
400,4.4,33,2016,8
450,4.4,33,2016,9
500,4.5,33,2016,10
550,4.5,32,2016,11
600,4.5,32,2016,12
650,4.4,32,2016,13
700,4.4,33,2016,14
750,4.4,34,2016,15
800,4.3,33,2016,16
850,4.3,34,2016,17
900,4.4,34,2016,18
950,4.4,34,2016,19
1000,4.4,35,2016,20
1050,4.4,34,2016,21
1100,4.5,34,2016,22
1150,4.5,36,2016,23
1200,4.4,35,2016,24
1250,4.4,35,2016,25
1300,4.5,36,2016,26
1350,4.5,37,2016,27
1400,4.5,36,2016,28
1450,4.4,36,2016,29
1500,4.3,35,2016,30
1550,4.3,35,2016,31
1600,4.4,37,2016,32
1650,4.4,36,2016,33
1700,4.4,35,2016,34
1750,4.5,37,2016,35
1800,4.5,38,2016,36
